Hilton Creek 2011 CFM                       	 -118.786000 	 37.563000 	 334.000000 	 0.000000 	 -0.000150 	 0.000150 	 0.000739 	 0.000589 	 0.000889 	 0.000597 	 -0.000519 	 -0.000675 	 0.000291 	 -0.000253 	 -0.000329 	 0.000291 	 -0.000253 	 -0.000329 	 0.000142 	 -0.000124 	 -0.000161 
Hilton Creek 2011 CFM                       	 -118.786000 	 37.563000 	 334.000000 	 0.000000 	 -0.000150 	 0.000150 	 0.000739 	 0.000589 	 0.000889 	 0.000597 	 -0.000519 	 -0.000675 	 0.000291 	 -0.000253 	 -0.000329 	 0.000291 	 -0.000253 	 -0.000329 	 0.000142 	 -0.000124 	 -0.000161 
Hilton Creek 2011 CFM                       	 -118.810000 	 37.615000 	 19.000000 	 0.000000 	 -0.000450 	 0.000450 	 0.000996 	 0.000546 	 0.001446 	 0.000891 	 -0.000632 	 -0.001149 	 -0.000307 	 0.000218 	 0.000396 	 -0.000307 	 0.000218 	 0.000396 	 0.000106 	 -0.000075 	 -0.000136 
Hollywood                                   	 -118.350300 	 34.104000 	 267.000000 	 0.000303 	 0.000103 	 0.000503 	 -0.000060 	 -0.000260 	 0.000140 	 0.000016 	 0.000007 	 0.000025 	 -0.000299 	 -0.000131 	 -0.000480 	 0.000004 	 -0.000001 	 -0.000004 	 -0.000076 	 0.000019 	 0.000069 
Honey Lake 2011 CFM                         	 -120.123000 	 40.053000 	 319.000000 	 -0.001700 	 -0.002300 	 -0.001100 	 -0.000000 	 -0.000600 	 0.000600 	 0.000842 	 0.000545 	 0.001139 	 0.000732 	 0.000473 	 0.000990 	 -0.000968 	 -0.000627 	 -0.001310 	 -0.000842 	 -0.000545 	 -0.001139 
Hosgri                                      	 -121.204000 	 35.651000 	 331.000000 	 -0.001650 	 -0.002600 	 -0.000700 	 -0.000000 	 -0.000950 	 0.000950 	 0.000700 	 0.000297 	 0.001102 	 0.000388 	 0.000165 	 0.000611 	 -0.001262 	 -0.000535 	 -0.001989 	 -0.000700 	 -0.000297 	 -0.001102 
Hosgri                                      	 -121.204000 	 35.651000 	 331.000000 	 -0.004300 	 -0.007800 	 -0.000800 	 -0.000000 	 -0.003500 	 0.003500 	 0.001823 	 0.000339 	 0.003307 	 0.001011 	 0.000188 	 0.001833 	 -0.003289 	 -0.000612 	 -0.005967 	 -0.001823 	 -0.000339 	 -0.003307 
Hosgri                                      	 -121.204000 	 35.651000 	 331.000000 	 -0.002150 	 -0.003400 	 -0.000900 	 -0.000000 	 -0.001250 	 0.001250 	 0.000912 	 0.000382 	 0.001442 	 0.000505 	 0.000212 	 0.000799 	 -0.001645 	 -0.000688 	 -0.002601 	 -0.000912 	 -0.000382 	 -0.001442 
Hunter Mountain-Saline Valley               	 -117.678000 	 36.611000 	 311.000000 	 -0.000918 	 -0.001853 	 0.000022 	 0.000000 	 -0.000935 	 0.000940 	 0.000455 	 0.000054 	 0.000858 	 0.000523 	 0.000062 	 0.000987 	 -0.000395 	 -0.000047 	 -0.000745 	 -0.000455 	 -0.000054 	 -0.000858 
Hunter Mountain-Saline Valley               	 -117.554000 	 36.531000 	 123.000000 	 -0.003161 	 -0.003511 	 -0.002811 	 0.000000 	 -0.000350 	 0.000350 	 0.001444 	 0.001305 	 0.001582 	 0.002223 	 0.002010 	 0.002437 	 -0.000938 	 -0.000848 	 -0.001028 	 -0.001444 	 -0.001305 	 -0.001582 
Imperial                                    	 -115.357000 	 32.675000 	 319.000000 	 -0.017500 	 -0.020000 	 -0.015000 	 -0.000000 	 -0.002500 	 0.002500 	 0.008665 	 0.007427 	 0.009903 	 0.007532 	 0.006456 	 0.008608 	 -0.009968 	 -0.008544 	 -0.011392 	 -0.008665 	 -0.007427 	 -0.009903 
Incline Village 2011 CFM                    	 -119.965000 	 39.234000 	 359.000000 	 0.000000 	 -0.000940 	 -0.000830 	 0.000681 	 -0.000259 	 -0.000149 	 0.000681 	 -0.000077 	 -0.000148 	 0.000012 	 -0.000001 	 -0.000003 	 0.000012 	 -0.000001 	 -0.000003 	 0.000000 	 -0.000000 	 -0.000000 
Incline Village 2011 CFM                    	 -119.965000 	 39.234000 	 359.000000 	 0.000000 	 -0.000880 	 -0.000760 	 0.000681 	 -0.000199 	 -0.000079 	 0.000681 	 -0.000116 	 -0.000193 	 0.000012 	 -0.000002 	 -0.000003 	 0.000012 	 -0.000002 	 -0.000003 	 0.000000 	 -0.000000 	 -0.000000 
Independence rev 2011                       	 -118.300000 	 36.785000 	 163.000000 	 0.000000 	 -0.000035 	 0.000035 	 0.000055 	 0.000020 	 0.000090 	 0.000050 	 -0.000029 	 -0.000071 	 0.000015 	 -0.000009 	 -0.000022 	 0.000015 	 -0.000009 	 -0.000022 	 0.000005 	 -0.000003 	 -0.000007 
Independence rev 2011                       	 -118.303300 	 36.790000 	 163.000000 	 0.000000 	 -0.000045 	 0.000045 	 0.000074 	 0.000029 	 0.000119 	 0.000068 	 -0.000041 	 -0.000094 	 0.000021 	 -0.000013 	 -0.000029 	 0.000021 	 -0.000013 	 -0.000029 	 0.000006 	 -0.000004 	 -0.000009 
Independence rev 2011                       	 -118.301700 	 36.788300 	 163.000000 	 0.000000 	 -0.000055 	 0.000055 	 0.000087 	 0.000032 	 0.000142 	 0.000079 	 -0.000047 	 -0.000112 	 0.000024 	 -0.000014 	 -0.000034 	 0.000024 	 -0.000014 	 -0.000034 	 0.000007 	 -0.000004 	 -0.000010 
Kern Canyon (Lake Isabella) 2011            	 -118.475000 	 35.640000 	 25.000000 	 0.000000 	 -0.000100 	 0.000100 	 0.000100 	 0.000000 	 0.000200 	 0.000082 	 -0.000041 	 -0.000123 	 -0.000038 	 0.000019 	 0.000057 	 -0.000038 	 0.000019 	 0.000057 	 0.000018 	 -0.000009 	 -0.000027 
Kern Canyon (North Kern) 2011               	 -118.408000 	 36.345000 	 5.000000 	 0.000000 	 -0.000050 	 0.000050 	 0.000075 	 0.000025 	 0.000125 	 0.000074 	 -0.000050 	 -0.000099 	 -0.000007 	 0.000004 	 0.000009 	 -0.000007 	 0.000004 	 0.000009 	 0.000001 	 -0.000000 	 -0.000001 
